WKT,nome,descrizione
"LINESTRING (12.2432461 41.782258, 12.2429311 41.7821877, 12.2425985 41.7821557, 12.2420835 41.7821397, 12.2418046 41.7820677, 12.2413325 41.7820357, 12.2408283 41.7819717, 12.240442 41.7818837, 12.2402596 41.7821397, 12.2402167 41.7822917, 12.2401202 41.7824677, 12.2400451 41.7826357, 12.2389453 41.7849877, 12.2388381 41.7853437, 12.2386771 41.7857397, 12.2381782 41.7871477, 12.2375989 41.7886356, 12.236805 41.7905715, 12.2361398 41.7921393, 12.2354317 41.7939791, 12.2344875 41.7962667, 12.2333074 41.7988742, 12.2320414 41.8019934, 12.2306681 41.8051125, 12.2293162 41.8083754, 12.2279644 41.8116221, 12.2260037 41.8163159)",Linea 188,
"LINESTRING (12.2434757 41.782448, 12.243377 41.7827331, 12.2433288 41.7828891, 12.2432483 41.7831892, 12.2431625 41.7834372, 12.2430981 41.7835892, 12.2430015 41.7838132, 12.2428513 41.7840532, 12.2428084 41.7841692, 12.2427172 41.7843492, 12.2426099 41.7845652, 12.242449 41.7849252, 12.2422881 41.7852772, 12.2421379 41.7855012, 12.2420842 41.7857812, 12.2419555 41.7861092, 12.2417838 41.7864531, 12.2416658 41.7866371, 12.2417302 41.7870291, 12.2399731 41.7881293, 12.2389884 41.7887174, 12.238049 41.7893817, 12.2368568 41.7901984, 12.2348155 41.7949035, 12.2333074 41.7988742, 12.2314135 41.8032267, 12.2291627 41.8091224, 12.2260386 41.8163239)",Linea 2,
"LINESTRING (12.2421487 41.798507, 12.242141 41.7985334, 12.2421303 41.7985674, 12.2420901 41.7986374, 12.2420525 41.7987094, 12.241964 41.7987894, 12.2418057 41.7989173, 12.2416824 41.7989713, 12.241618 41.7990473, 12.2413659 41.7990793, 12.2412532 41.7991993, 12.2411191 41.7993472, 12.240808 41.7994992, 12.2405344 41.7997072, 12.2403681 41.7999111, 12.2403091 41.8000671, 12.240132 41.800279, 12.2400408 41.8005629, 12.2399765 41.8006629, 12.2396975 41.8010628, 12.2394132 41.8011908, 12.2388714 41.8012228, 12.2385978 41.8011508, 12.2380399 41.8010108, 12.2377502 41.8009588, 12.2372943 41.8007949, 12.2370046 41.8007429, 12.2366023 41.8006389, 12.236039 41.800535, 12.2359021 41.8008345, 12.2357411 41.8011384, 12.2355319 41.8014703, 12.2353925 41.8018702, 12.2351779 41.8022861, 12.2350599 41.80255, 12.2348882 41.8028939, 12.2348024 41.8033098, 12.23462 41.8036937, 12.2343196 41.8044295, 12.2340728 41.8049253, 12.2339012 41.8053092, 12.2336866 41.8056931, 12.2334184 41.8063009, 12.2332574 41.8067247, 12.2330965 41.8072365, 12.2329677 41.8074685, 12.2327854 41.8080682, 12.2325815 41.8083721, 12.2324849 41.80874, 12.2322811 41.8091239, 12.2321953 41.8093398, 12.2318734 41.8099875, 12.2317125 41.8103874, 12.2313906 41.8107872, 12.2313262 41.811379, 12.2310044 41.8120187, 12.2307683 41.8126904, 12.2305967 41.8133301, 12.2302748 41.8138739, 12.2293092 41.8144176, 12.2287513 41.8147535, 12.2281076 41.8149134, 12.2272922 41.8150733, 12.2267772 41.8151373, 12.2264768 41.8148814, 12.2264553 41.8146255, 12.2265841 41.8144736, 12.2275233 41.812279, 12.2281191 41.811236, 12.2285382 41.8097257, 12.2294623 41.8079205, 12.2302803 41.8059737, 12.2316586 41.8026558, 12.2329559 41.7995393, 12.23452 41.7959937, 12.2362745 41.7916542, 12.2388381 41.7853437, 12.2407424 41.7811017)",Linea 4,
"LINESTRING (12.2422452 41.798535, 12.2421952 41.7986361, 12.2421308 41.7987241, 12.2420557 41.7988181, 12.2419001 41.7989421, 12.241825 41.798994, 12.2417365 41.799066, 12.2415702 41.799158, 12.2413288 41.799278, 12.2412483 41.7994059, 12.2410713 41.7994379, 12.2409265 41.7995219, 12.240728 41.7996459, 12.240669 41.7997979, 12.2405134 41.7999658, 12.2403417 41.8001618, 12.240213 41.8003137, 12.2401808 41.8004897, 12.2400843 41.8007096, 12.2399233 41.8008776, 12.2398482 41.8009856, 12.2397838 41.8011375, 12.2395693 41.8012375, 12.2393815 41.8012495, 12.2391187 41.8013175, 12.2388451 41.8013135, 12.2385071 41.8012735, 12.2383033 41.8012175, 12.2380565 41.8011495, 12.2377615 41.8010895, 12.2376059 41.8010216, 12.2374289 41.8009776, 12.2372197 41.8009056, 12.2368656 41.8008576, 12.2366618 41.8007976, 12.2364257 41.8007296, 12.2361897 41.8007376, 12.2360502 41.8008336, 12.235959 41.8010415, 12.2358142 41.8012455, 12.2357874 41.8013975, 12.2356425 41.8015454, 12.2355567 41.8017814, 12.2354655 41.8020133, 12.2353099 41.8022492, 12.2351919 41.8024852, 12.2351222 41.8026451, 12.2350632 41.8027411, 12.2350202 41.802893, 12.2349666 41.803065, 12.2349237 41.803233, 12.2348432 41.8034129, 12.2347735 41.8035289, 12.2347359 41.8036648, 12.2346501 41.8038128, 12.2345804 41.8039847, 12.2345374 41.8041207, 12.2344463 41.8043046, 12.234398 41.8044686, 12.234339 41.8045845, 12.2342585 41.8046885, 12.2341727 41.8048565, 12.2341083 41.8050044, 12.2340493 41.8051604, 12.2340117 41.8052483, 12.2339688 41.8053323, 12.2338991 41.8055083, 12.2337703 41.8057282, 12.2337221 41.8058401, 12.2336684 41.8059681, 12.2336201 41.806128, 12.2335397 41.806264, 12.233486 41.806404, 12.2334216 41.8065799, 12.2333465 41.8067079, 12.2332875 41.8068598, 12.2332714 41.8070517, 12.2332124 41.8071797, 12.2331481 41.8074036, 12.2330461 41.8075476, 12.2329925 41.8076955, 12.232971 41.8078714, 12.2328959 41.8080074, 12.2327886 41.8081953, 12.2327457 41.8083273, 12.2326545 41.8085112, 12.2325633 41.8087871, 12.2324882 41.808955, 12.2324078 41.809119, 12.2323488 41.8092629, 12.2322737 41.8093829, 12.2321771 41.8095228, 12.2321235 41.8096828, 12.2320162 41.8098547, 12.2319196 41.8100226, 12.2318713 41.8101906, 12.2318177 41.8103345, 12.2317533 41.8105064, 12.2316621 41.8106944, 12.231587 41.8108663, 12.231528 41.8110502, 12.2314475 41.8112381, 12.2313778 41.811474, 12.2312544 41.8117299, 12.2311686 41.8120098, 12.2310828 41.8122977, 12.2309218 41.8126575, 12.2308467 41.8130733, 12.2306429 41.8135211, 12.230321 41.8140569, 12.2298704 41.8142408, 12.2295485 41.8144407, 12.2292159 41.8146246, 12.2287653 41.8148725, 12.2283791 41.8149285, 12.2277676 41.8151684, 12.2271238 41.8152084, 12.2266947 41.8152324, 12.2264479 41.8150724, 12.2271257 41.8135708, 12.2272886 41.8128368, 12.2276143 41.8119445, 12.2280939 41.8108637, 12.2285382 41.8097257, 12.2291125 41.808616, 12.2297169 41.8071496, 12.2306681 41.8051125, 12.2316586 41.8026558, 12.2321914 41.8010998, 12.2329559 41.7995393, 12.2337299 41.7980237, 12.2344875 41.7962667, 12.2352815 41.794219, 12.2377383 41.7881757, 12.2407827 41.7811057)",Linea 5,
"LINESTRING (12.2423485 41.7990552, 12.242555 41.7992691, 12.2426784 41.7993451, 12.2432363 41.7996051, 12.2444809 41.799765, 12.2452963 41.800029, 12.2460687 41.8002929, 12.2469807 41.8004529, 12.2475922 41.8007088, 12.2477853 41.8011887, 12.2477317 41.8016766, 12.2487617 41.8019565, 12.2502637 41.8019885, 12.2518087 41.8024044, 12.2530532 41.8026923, 12.2543407 41.8031401, 12.2542977 41.8038759, 12.2539115 41.8045157, 12.2539544 41.8053155, 12.2552419 41.8056674, 12.2568298 41.8059233, 12.2581172 41.8064031, 12.261573 41.8074776, 12.2629689 41.8079123, 12.2649025 41.8084617, 12.2669673 41.8089847, 12.2693804 41.8097108, 12.2716318 41.810267, 12.274012 41.811479, 12.2753523 41.8126767, 12.2737627 41.8157242, 12.2733747 41.8168526, 12.2725986 41.8191094, 12.2712179 41.8219599, 12.2698296 41.8252303, 12.2679108 41.8299805, 12.2656173 41.8360274, 12.2610178 41.8465912)",Linea 6,
"LINESTRING (12.2520608 41.8014865, 12.2510978 41.8020524, 12.2530129 41.8025643, 12.2541824 41.8028202, 12.2543969 41.8029641, 12.2547188 41.8031561, 12.2557058 41.803412, 12.2570362 41.8037319, 12.2585168 41.8041798, 12.2601261 41.8046277, 12.2616281 41.8050115, 12.2618856 41.8059072, 12.2616496 41.8063551, 12.261573 41.8074776, 12.2629689 41.8079123, 12.2649025 41.8084617, 12.2663488 41.8088022, 12.2680225 41.8091861, 12.2696962 41.8095699, 12.2708549 41.8100497, 12.2722711 41.8104656, 12.2732153 41.8110413, 12.2727432 41.811905, 12.2723141 41.8132484, 12.2732582 41.8139201, 12.2741862 41.8142319, 12.2743445 41.8145678, 12.2736537 41.8162913, 12.2731344 41.8180148, 12.2724393 41.8195427, 12.2715639 41.8213193, 12.2704997 41.8235933, 12.2692294 41.8262225, 12.2684051 41.8287947, 12.2672713 41.8316368, 12.2665484 41.8336119, 12.2656173 41.8360274, 12.2642232 41.8390834, 12.2628541 41.8426228, 12.261199 41.8466348)",Linea 7,
"LINESTRING (12.2704744 41.8052589, 12.2703591 41.8055307, 12.2704235 41.8060426, 12.2713461 41.8063625, 12.2725478 41.8066184, 12.2732344 41.8075461, 12.2734061 41.8084897, 12.2735777 41.8092734, 12.2734275 41.8098332, 12.2732773 41.810393, 12.2732344 41.8108088, 12.2736206 41.8112886, 12.2743717 41.8115925, 12.2746935 41.8120083, 12.2751227 41.8124401, 12.2753587 41.812776, 12.2751871 41.8130639, 12.2751012 41.8133837, 12.2749081 41.8137196, 12.2745862 41.8143113, 12.2741356 41.8154468, 12.2736636 41.8164862, 12.2731915 41.8176217, 12.2725048 41.8192208, 12.271904 41.8209639, 12.2712174 41.8225789, 12.2702518 41.8247856, 12.2692647 41.827184, 12.2682133 41.8299981, 12.2669902 41.8331478, 12.2655955 41.8368249, 12.2640934 41.8405338, 12.2628489 41.8435711, 12.2613764 41.8466702)",Linea 8,
"POLYGON ((12.2401381 41.7813588, 12.2404009 41.7807308, 12.2414846 41.7809508, 12.2411359 41.7815988, 12.2401381 41.7813588))",Take-off-point1-Runway1,
"POLYGON ((12.2255888 41.8159322, 12.2266724 41.8161721, 12.2264471 41.8166919, 12.225358 41.8164559, 12.2255888 41.8159322))",take-off-point2-runway1,
"POLYGON ((12.2608168 41.8467063, 12.2609348 41.8464066, 12.2616 41.8465705, 12.2614659 41.8468702, 12.2608168 41.8467063))",Take-off-point1-runway2,
