WKT,nome,descrizione
"LINESTRING (12.2424759 41.7963034, 12.242669 41.7963514, 12.242787 41.7964594, 12.242948 41.7965874, 12.2429962 41.7967473, 12.2430499 41.7969833, 12.2431035 41.7971833, 12.2430982 41.7974152, 12.2430177 41.7976392, 12.2429319 41.7978751, 12.2428568 41.7980391, 12.242728 41.7982071, 12.2425081 41.798395, 12.2424115 41.798495, 12.242331 41.798559)",Linea 3,
"LINESTRING (12.2417195 41.7963954, 12.241698 41.7965514, 12.2416766 41.7967353, 12.2417249 41.7968233, 12.2418643 41.7969113, 12.2421004 41.7969313, 12.2423901 41.7969353, 12.2425939 41.7969753, 12.2428407 41.7969913, 12.2428943 41.7972073, 12.242787 41.7974312, 12.2427119 41.7976512, 12.2426422 41.7978871, 12.242492 41.7981751, 12.2423632 41.798367, 12.2422452 41.798535)",Linea 4,
"LINESTRING (12.2425993 41.7960395, 12.2430231 41.7962634, 12.2431894 41.7965474, 12.2432966 41.7966914, 12.2434576 41.7969313, 12.2434522 41.7972872, 12.2434683 41.7975752, 12.2432054 41.7977831, 12.243074 41.7980011, 12.2429345 41.7981731, 12.2427468 41.798385, 12.2424357 41.798587)",Linea 5,
"LINESTRING (12.2412313 41.7962714, 12.2411562 41.7965474, 12.241108 41.7968593, 12.2412957 41.7971273, 12.2416873 41.7972233, 12.2421808 41.7972792, 12.2423418 41.7974832, 12.242331 41.7977911, 12.2422881 41.7979791, 12.242272 41.798287, 12.2421487 41.798507)",Linea 6,
"LINESTRING (12.2412205 41.7956995, 12.2410489 41.7955155, 12.2408611 41.7952116, 12.2408396 41.7950876, 12.2408718 41.7949436, 12.2411722 41.7946437, 12.2419984 41.7946997, 12.2427494 41.7948876, 12.2430981 41.7949996, 12.2432805 41.7951556, 12.2436399 41.7954356, 12.2438598 41.7958995, 12.2438759 41.7963594, 12.2439081 41.7966993, 12.2439886 41.7970433, 12.2439188 41.7974952, 12.2436721 41.7978091, 12.2433797 41.7979971, 12.2432751 41.798189, 12.242972 41.798449, 12.2428728 41.7985669, 12.2426367 41.7986209)",Linea 7,
"LINESTRING (12.2419125 41.7952756, 12.2419018 41.7951116, 12.2419554 41.7950036, 12.2421754 41.7949516, 12.2426957 41.7951356, 12.2429747 41.7953356, 12.2432751 41.7957075, 12.2435111 41.7962434, 12.2436613 41.7967993, 12.2437257 41.7972992, 12.243597 41.7977511, 12.2433046 41.7979111, 12.2431142 41.798201, 12.2429023 41.798373, 12.2427413 41.798523, 12.2425428 41.7986049)",Linea 8,
"LINESTRING (12.2460386 41.7981904, 12.2457274 41.7982944, 12.2456094 41.7984544, 12.2454377 41.7987543, 12.2453412 41.7989143, 12.2452339 41.7990742, 12.2451481 41.7991982, 12.2450247 41.7993542, 12.2447886 41.7994342, 12.2444561 41.7994342, 12.2442468 41.7993422, 12.2439572 41.7992782, 12.2437104 41.7991982, 12.2435119 41.7991542, 12.243174 41.7990582, 12.2429111 41.7989943)",Linea 10,
"LINESTRING (12.2459581 41.7976545, 12.2457274 41.7977905, 12.2457167 41.7980105, 12.2457113 41.7981064, 12.2455504 41.7982624, 12.2453197 41.7985544, 12.2452124 41.7988463, 12.245073 41.7989863, 12.2449442 41.7991982, 12.2445848 41.7992902, 12.2443005 41.7992062, 12.2439357 41.7990942, 12.2435548 41.7990382, 12.2433081 41.7989343, 12.2429862 41.7988983)",Linea 11,
"LINESTRING (12.2468103 41.7983722, 12.2465541 41.7987642, 12.2464361 41.7989561, 12.2462698 41.7991961, 12.2461357 41.799396, 12.245846 41.799588, 12.2455885 41.7996799, 12.2453149 41.7996879, 12.2448751 41.799636, 12.2445425 41.799544, 12.2443064 41.7995, 12.244065 41.799428, 12.2438558 41.79936, 12.2436198 41.799284, 12.2433033 41.7992121, 12.2431745 41.7991641, 12.2428956 41.7990881)",Linea 13,
"LINESTRING (12.2460713 41.7971845, 12.2457977 41.7974444, 12.2456475 41.7977044, 12.2455134 41.7979363, 12.2454705 41.7981803, 12.2453525 41.7983802, 12.2452023 41.7985802, 12.2450521 41.7987442, 12.2448912 41.7990081, 12.2446819 41.7991561, 12.2443923 41.7991201, 12.243888 41.7989641, 12.2435876 41.7988961, 12.2433355 41.7988441, 12.2430297 41.7988601)",Linea 14,
"LINESTRING (12.2462215 41.7968286, 12.2459801 41.7970205, 12.2457012 41.7972565, 12.245551 41.7975204, 12.2454598 41.7976764, 12.2452881 41.7980123, 12.245213 41.7982043, 12.2450896 41.7984482, 12.244918 41.7986642, 12.2448161 41.7987562, 12.2445586 41.7988841, 12.2443386 41.7989361, 12.2440543 41.7989201, 12.2437432 41.7988401, 12.2434159 41.7987922, 12.2432067 41.7987762, 12.2429666 41.7987849)",Linea 15,
"LINESTRING (12.2464307 41.7964646, 12.2461733 41.7966046, 12.2458514 41.7967846, 12.2457334 41.7970325, 12.2455134 41.7972685, 12.2454491 41.7975124, 12.2452345 41.7977924, 12.2451647 41.7980283, 12.2449555 41.7983163, 12.2448965 41.7985122, 12.2447302 41.7986522, 12.244462 41.7987802, 12.2441777 41.7988161, 12.2438853 41.7987302, 12.2436332 41.7986522, 12.2433784 41.7986302, 12.2431289 41.7986642, 12.2429291 41.7987209)",Linea 17,
"LINESTRING (12.2465917 41.7961027, 12.2461786 41.7962987, 12.245905 41.7965946, 12.2456583 41.7968146, 12.2454169 41.7971385, 12.2452935 41.7974144, 12.2451701 41.7977024, 12.245036 41.7979703, 12.2448429 41.7982423, 12.244698 41.7984542, 12.2444459 41.7986062, 12.2442528 41.7986942, 12.2439846 41.7986182, 12.2436117 41.7985262, 12.2432631 41.7985122, 12.243078 41.7986102, 12.2428513 41.7986889)",Linea 18,
"LINESTRING (12.2467794 41.7957148, 12.24561 41.7955228, 12.2443815 41.7956188, 12.2442099 41.7959987, 12.2442152 41.7962827, 12.2441991 41.7965266, 12.2442099 41.7967626, 12.2442287 41.7970685, 12.2441616 41.7972945, 12.2440355 41.7975564, 12.2438907 41.7977724, 12.2436627 41.7979623, 12.243432 41.7981623, 12.2432604 41.7983462, 12.2430619 41.7984842, 12.2429237 41.7986029, 12.2427467 41.7986469)",Linea 20,
"LINESTRING (12.2475383 41.7983494, 12.2475531 41.7988443, 12.2476067 41.7992922, 12.2479393 41.7995961, 12.248465 41.799884, 12.2496023 41.800004, 12.2507074 41.8003319, 12.2510829 41.8004519, 12.2512653 41.8008198)",Linea 23,
"LINESTRING (12.2479715 41.7978445, 12.2485187 41.7984603, 12.2483363 41.7988923, 12.2483041 41.7994441, 12.2488888 41.7997541, 12.2497525 41.799916, 12.250525 41.799948, 12.251276 41.800148, 12.2513618 41.8004919, 12.251394 41.8008438)",Linea 24,
"LINESTRING (12.2481414 41.797468, 12.2486582 41.7980844, 12.2487225 41.7983804, 12.2488835 41.7989722, 12.2500261 41.7986443, 12.2503694 41.7989762, 12.2503962 41.7993242, 12.2503211 41.7996761, 12.2508898 41.799844, 12.2514369 41.799988, 12.2518017 41.8002679, 12.2518446 41.8006038, 12.2515764 41.8008598)",Linea 25,
"LINESTRING (12.2483283 41.7970977, 12.2487708 41.7975226, 12.2489747 41.7980745, 12.2492536 41.7984264, 12.2496291 41.7984664, 12.2501763 41.7984904, 12.2508737 41.7989143, 12.2510024 41.7993862, 12.2511419 41.7996661, 12.2519787 41.7999141, 12.252247 41.80029, 12.2520753 41.8007219, 12.2517642 41.8009538)",Linea 26,
"LINESTRING (12.2485106 41.7967348, 12.2490605 41.7971947, 12.2491571 41.7975866, 12.2496399 41.7979225, 12.2496828 41.7981225, 12.2501119 41.7983144, 12.2505625 41.7984264, 12.251099 41.7986984, 12.2514423 41.7992502, 12.2518071 41.7996581, 12.2523757 41.7998101, 12.2526225 41.80021, 12.2525796 41.8005139, 12.252365 41.8008179, 12.2520324 41.8010418)",Linea 27,
"LINESTRING (12.2486859 41.7963881, 12.2492064 41.7970267, 12.2492279 41.7971707, 12.249539 41.7975466, 12.2496785 41.7977306, 12.2500862 41.7980425, 12.2506655 41.7983224, 12.2511161 41.7985064, 12.2514916 41.7988503, 12.2517706 41.7992022, 12.252189 41.7995462, 12.2527362 41.7998181, 12.2529937 41.800202, 12.2529937 41.8005379, 12.2526182 41.8008498, 12.2523392 41.8010978)",Linea 29,
"LINESTRING (12.2496131 41.7962345, 12.2492068 41.7964425, 12.2491102 41.7966105, 12.2493248 41.7968104, 12.2495394 41.7971384, 12.2497432 41.7974343, 12.2500865 41.7976663, 12.2504084 41.7979862, 12.2506981 41.7981142, 12.2510629 41.7982981, 12.2514491 41.7985381, 12.2516959 41.798842, 12.2519748 41.799114, 12.252243 41.7993779, 12.2525542 41.7996019, 12.2530799 41.7998658, 12.2532301 41.8003537, 12.2532515 41.8007376, 12.2527258 41.8010735)",Linea 32,
"LINESTRING (12.2501023 41.7964957, 12.2496145 41.7966105, 12.2494535 41.7968264, 12.2497754 41.7971784, 12.250344 41.7976423, 12.2506122 41.7979222, 12.2510414 41.7980742, 12.2514062 41.7983461, 12.251889 41.798794, 12.2520499 41.799106, 12.252243 41.7993779, 12.2526722 41.7996418, 12.2530906 41.7997938, 12.2534339 41.8001937, 12.2536485 41.8005776, 12.2534983 41.8008975, 12.252994 41.8011935)",Linea 33,
"LINESTRING (12.2503362 41.7966341, 12.2500329 41.7968664, 12.2500436 41.7971624, 12.250462 41.7974423, 12.2508161 41.7977783, 12.2512667 41.7980102, 12.2516315 41.7983861, 12.2519265 41.7986941, 12.2520392 41.798918, 12.2521465 41.799154, 12.2523074 41.7993339, 12.252463 41.7994779, 12.25264 41.7995779, 12.2529672 41.7996978, 12.2534255 41.7999304, 12.2534792 41.8000703, 12.2536347 41.8003943, 12.2536991 41.8004942, 12.2536079 41.8008981, 12.2535811 41.8010661, 12.2533772 41.8011421)",Linea 34,
"LINESTRING (12.2536074 41.7989609, 12.2541876 41.7994075, 12.2543807 41.7999113, 12.2544129 41.8002393, 12.2544558 41.8006312, 12.2544236 41.8009271, 12.2542305 41.801135, 12.2538657 41.801343)",Linea 36,
"LINESTRING (12.2533568 41.7985371, 12.2540696 41.7989036, 12.2542412 41.7992235, 12.2544987 41.7996634, 12.2546918 41.7999513, 12.254606 41.8003992, 12.2546409 41.8008131, 12.2544558 41.801191, 12.2541768 41.801351)",Linea 37,
"LINESTRING (12.2530629 41.7980551, 12.2538121 41.7983197, 12.2542627 41.7987756, 12.2546275 41.7991115, 12.2548635 41.7996234, 12.2548152 41.8001013, 12.2547696 41.8006891, 12.2546999 41.8009431, 12.2545845 41.801179, 12.2544021 41.801415)",Linea 38,
"LINESTRING (12.2527526 41.7976338, 12.2534902 41.7979118, 12.2538979 41.7981117, 12.2543592 41.7984557, 12.254724 41.7988876, 12.2549024 41.7992555, 12.2549869 41.7995824, 12.2549386 41.7999963, 12.2548742 41.8003002, 12.2549131 41.8004692, 12.2548453 41.800584, 12.2548379 41.8007008, 12.2547749 41.8008867, 12.2547736 41.8010387, 12.2547199 41.8012706, 12.2546287 41.8014626)",Linea 39,
"LINESTRING (12.2526206 41.7994819, 12.252245 41.7996773, 12.2518481 41.7999292, 12.2516764 41.8002452, 12.251553 41.8004451, 12.2515262 41.8006611, 12.251494 41.800837)",Linea 40,
