WKT,nome,descrizione
"POLYGON ((12.2502375 41.7962165, 12.2502576 41.7961935, 12.2502872 41.7961785, 12.2503434 41.796197, 12.2502991 41.79624, 12.2502617 41.796228, 12.2502375 41.7962165))",ferrari-luxury-store,
"POLYGON ((12.2502882 41.7966016, 12.2503197 41.7965756, 12.2503532 41.7965816, 12.2503847 41.7965961, 12.2503961 41.7966136, 12.2503693 41.7966371, 12.2502882 41.7966016))",restaurant-ramen,
"POLYGON ((12.2504007 41.7962924, 12.250439 41.7962684, 12.2504718 41.7962654, 12.2504859 41.7962799, 12.2504953 41.7963004, 12.250453 41.7963059, 12.2504215 41.7963074, 12.2504007 41.7962924))",montblanc-luxury-store,
"POLYGON ((12.2500397 41.7961415, 12.2500383 41.796106, 12.2501396 41.7961025, 12.2501684 41.796134, 12.2501094 41.7961555, 12.2500397 41.7961415))",the-fashion-place-luxury-store,
"POLYGON ((12.2506559 41.7965949, 12.2506753 41.7965694, 12.2507095 41.7965584, 12.2507444 41.7965749, 12.2507323 41.7966019, 12.2506995 41.7966099, 12.2506559 41.7965949))",swaroski-luxury-store,
"POLYGON ((12.2497775 41.7959026, 12.2497923 41.7958871, 12.2498127 41.7958881, 12.2498325 41.7958956, 12.2498298 41.7959086, 12.2498067 41.7959138, 12.2497775 41.7959026))",benetton-store,
"POLYGON ((12.2496105 41.7958455, 12.2496219 41.7958235, 12.2496592 41.7958253, 12.249681 41.7958398, 12.2496488 41.7958523, 12.2496105 41.7958455))",dolce-gabbana-store,
"POLYGON ((12.2497165 41.7958653, 12.2497142 41.7958513, 12.2497433 41.7958446, 12.2497725 41.7958443, 12.2497806 41.7958563, 12.2497836 41.7958653, 12.2497547 41.7958653, 12.2497165 41.7958653))",salvatore-ferragamo-store,
"POLYGON ((12.2492427 41.7956514, 12.2492649 41.7956344, 12.2493018 41.7956414, 12.2493024 41.7956559, 12.2492914 41.7956701, 12.2492632 41.7956659, 12.2492427 41.7956514))",diesel-luxury-store,
"POLYGON ((12.2494944 41.7961482, 12.2495473 41.7961022, 12.249597 41.7961287, 12.2496265 41.7961532, 12.2495835 41.7961787, 12.2494944 41.7961482))",bulgari-luxury-store,
"POLYGON ((12.2493061 41.7956986, 12.2493333 41.7956834, 12.2493634 41.7956831, 12.2493641 41.7957071, 12.249342 41.7957179, 12.2493121 41.7957081, 12.2493061 41.7956986))",pandora-luxury-store,
"POLYGON ((12.2490287 41.7959262, 12.2490495 41.7959007, 12.2490937 41.7959137, 12.2491179 41.7959407, 12.2490957 41.7959617, 12.2490287 41.7959262))",caffe-kimbo-restaurant,
"POLYGON ((12.249987 41.7964449, 12.2500279 41.796415, 12.2500755 41.7964384, 12.2500942 41.7964539, 12.2500674 41.7964859, 12.249987 41.7964449))",farinella-restaurant,
"POLYGON ((12.2543385 41.7961359, 12.2542902 41.7960979, 12.2543733 41.7960669, 12.2544095 41.7960589, 12.2544645 41.7960949, 12.2544471 41.7961269, 12.2543385 41.7961359))",alemagna-restaurant,
"POLYGON ((12.2533954 41.7965004, 12.2534769 41.7964622, 12.2534966 41.7964899, 12.2534162 41.7965264, 12.2533954 41.7965004))",borsalino-luxury-store,
"POLYGON ((12.2546 41.7961032, 12.2545839 41.7960807, 12.2546288 41.7960677, 12.2546791 41.7960737, 12.2546731 41.7961017, 12.2546489 41.7961082, 12.2546 41.7961032))",tim-electronics-shop,
"POLYGON ((12.2544391 41.7960497, 12.2544149 41.7959957, 12.2545061 41.7959842, 12.2545624 41.7960067, 12.2545738 41.7960347, 12.2545484 41.7960567, 12.2544391 41.7960497))",gallo-luxury-store,
"POLYGON ((12.255032 41.7958207, 12.2550045 41.7957892, 12.2550682 41.7957582, 12.2551138 41.7957887, 12.2550548 41.7958172, 12.255032 41.7958207))",sophia-loren-restaurant,
"POLYGON ((12.2545652 41.7963171, 12.2544725 41.7962169, 12.2545081 41.7962019, 12.2545718 41.7961769, 12.2546227 41.7962799, 12.2545652 41.7963171))",venchi-restaurant,
"POLYGON ((12.2529515 41.7964427, 12.2529287 41.7964072, 12.253044 41.7963832, 12.2530896 41.7964177, 12.2530675 41.7964427, 12.2529864 41.7964492, 12.2529515 41.7964427))",polo-ralph-lauren-luxury-store,
"POLYGON ((12.2533501 41.7958587, 12.25333 41.7958342, 12.2533662 41.7958207, 12.2534226 41.7958087, 12.2534433 41.7958412, 12.2534407 41.7958622, 12.2533723 41.7958697, 12.2533501 41.7958587))",casa-del-gusto-restaurant,
"POLYGON ((12.2552787 41.7959772, 12.2552177 41.7959022, 12.2552922 41.7958682, 12.2553532 41.7959427, 12.2552787 41.7959772))",just-design-store,
"POLYGON ((12.255203 41.7960132, 12.2551413 41.7959352, 12.2552177 41.7959022, 12.2552787 41.7959772, 12.255203 41.7960132))",fabriano-store,
"POLYGON ((12.2560915 41.7956514, 12.2560412 41.7955879, 12.2561035 41.7955584, 12.2561605 41.7956309, 12.2560915 41.7956514))",ottica-vasari-store,
"POLYGON ((12.2562343 41.7956151, 12.2561625 41.7955277, 12.2562256 41.7955012, 12.2563027 41.7955907, 12.2562343 41.7956151))",boggi-store,
"POLYGON ((12.2564765 41.7952493, 12.2563518 41.7952133, 12.2563344 41.7951968, 12.2563471 41.7951628, 12.2564477 41.7951343, 12.2566207 41.7951413, 12.2566509 41.7952028, 12.2565691 41.7952413, 12.2564765 41.7952493))",kfc-restaurant,
"POLYGON ((12.2588004 41.7964619, 12.2587226 41.7964009, 12.2586904 41.7963469, 12.2586904 41.7962899, 12.2587226 41.7962739, 12.2587843 41.7963159, 12.2588205 41.7963639, 12.2588379 41.7964109, 12.2588366 41.7964569, 12.2588004 41.7964619))",relay-retail-shop,
"POLYGON ((12.257113 41.7954452, 12.25707 41.7953392, 12.2571894 41.7952883, 12.2572672 41.7953023, 12.2573235 41.7953722, 12.2571961 41.7954192, 12.257113 41.7954452))",berlucci-franciacorta-restaurant,
"POLYGON ((12.25855 41.7961106, 12.2585151 41.7960481, 12.2585855 41.7960236, 12.258627 41.7960851, 12.25855 41.7961106))",deli-scia-restaurant,
"POLYGON ((12.2475184 41.7969387, 12.247562 41.7968822, 12.2476491 41.7969097, 12.2476263 41.7969552, 12.2475184 41.7969387))",temakinho-restaurant,
