WKT,nome,descrizione
"LINESTRING (12.2498704 41.7956178, 12.2497792 41.7956378, 12.2497068 41.7956058, 12.2495807 41.7955478, 12.2495002 41.7955198, 12.2494064 41.7954498, 12.2492991 41.7954418, 12.2491891 41.7954358, 12.2490899 41.7954598, 12.2489236 41.7955538, 12.248827 41.7956458, 12.2487331 41.7957758, 12.2487385 41.7958718, 12.2488887 41.7959797, 12.2490282 41.7960337, 12.249122 41.7960597, 12.2493071 41.7960997)",Linea 11,
"LINESTRING (12.2465669 41.7944436, 12.2464435 41.7944516, 12.2462665 41.7944636, 12.2461216 41.7944237, 12.2459822 41.7943637, 12.2458427 41.7942597, 12.2456549 41.7941437, 12.2453867 41.7940877, 12.2452472 41.7940277, 12.24492 41.7939677, 12.2444748 41.7939837, 12.244228 41.7940277, 12.2438096 41.7941117, 12.2434984 41.7942477, 12.2430907 41.7944556, 12.2427635 41.7946516, 12.2425328 41.7948476, 12.242388 41.7949996, 12.2420715 41.7952315, 12.2419481 41.7952875)",Linea 2,
"LINESTRING (12.2422324 41.7953515, 12.2424095 41.7952555, 12.2425865 41.7951395, 12.2428118 41.7950116, 12.2430981 41.7949996, 12.2433858 41.7950476, 12.2437667 41.7950396, 12.2441368 41.7950436, 12.2444211 41.7949156, 12.2446303 41.7948356, 12.2449039 41.7947796, 12.245199 41.7946756, 12.2455691 41.7946516, 12.2459607 41.7945956, 12.2463255 41.7946156, 12.2466956 41.7945916, 12.2468619 41.7944916)",Linea 3,
"LINESTRING (12.2479885 41.7951195, 12.2478436 41.7951355, 12.2475218 41.7951635, 12.2470121 41.7952955, 12.2468941 41.7955075, 12.2468512 41.7956515)",Linea 4,
"LINESTRING (12.2504073 41.7966717, 12.2504395 41.7967957, 12.2505629 41.7969237, 12.2506809 41.7970596, 12.2508633 41.7971796, 12.2510993 41.7972516)",Linea 5,
"LINESTRING (12.252816 41.7974876, 12.2529608 41.7974436, 12.253229 41.7973436, 12.2533792 41.7973796, 12.2535455 41.7974556, 12.2536635 41.7976435, 12.2539908 41.7978195, 12.2541463 41.7979315, 12.2542804 41.7980635, 12.2545755 41.7982074, 12.2548759 41.7984354, 12.2550958 41.7985074, 12.2555894 41.7986273, 12.2561419 41.7985594, 12.2564369 41.7983754, 12.2567427 41.7982594, 12.2570699 41.7979675, 12.2570002 41.7976755, 12.25685 41.7974956, 12.2567964 41.7972796, 12.2567266 41.7970557, 12.2568929 41.7967237, 12.2568983 41.7965078, 12.2568607 41.7964038, 12.25685 41.7962638, 12.2567642 41.7961198, 12.2566354 41.7958759, 12.2565818 41.7957679, 12.2564906 41.7956519, 12.2564423 41.7955879)",Linea 7,
"LINESTRING (12.256217 41.7956459, 12.2562867 41.7957579, 12.2563457 41.7959619, 12.2564691 41.7961338, 12.2565281 41.7963338, 12.2564799 41.7964378, 12.2564799 41.7965977, 12.2563994 41.7967377, 12.2562116 41.7968417, 12.2560561 41.7968937, 12.2559327 41.7969777, 12.2557449 41.7970337)",Linea 8,
"LINESTRING (12.2557449 41.7970777, 12.2560453 41.7970777, 12.256453 41.7971496, 12.2567534 41.7973256, 12.2569573 41.7975816, 12.2569358 41.7979015, 12.2568178 41.7980175, 12.2566247 41.7981454, 12.2564799 41.7982614, 12.2563726 41.7984614, 12.2561902 41.7985094, 12.2559112 41.7984614)",Linea 9,
"LINESTRING (12.2585717 41.7949148, 12.2587541 41.7949108, 12.2588829 41.7949588, 12.2589794 41.7951427, 12.2591082 41.7953067, 12.2592208 41.7954587, 12.2592155 41.7956346, 12.2593281 41.7957466, 12.2594676 41.7960106, 12.2595749 41.7961386, 12.2597519 41.7964145, 12.2598538 41.7965705, 12.259886 41.7968544, 12.2598109 41.7971024, 12.2597948 41.7972623, 12.2595856 41.7975023, 12.2594032 41.7975583, 12.2590975 41.7976303, 12.2587756 41.7976303, 12.2586468 41.7974503, 12.2585878 41.7972943, 12.2584376 41.7971424, 12.258325 41.7968864, 12.2582177 41.7967344, 12.2578744 41.7965465, 12.2577564 41.7963145, 12.2576759 41.7960826, 12.2575257 41.7958346, 12.2573648 41.7956546, 12.2571341 41.7955866, 12.2568122 41.7956146, 12.2565333 41.7955467)",Linea 10,
"LINESTRING (12.2506709 41.7960566, 12.2506494 41.7961086, 12.2506628 41.7961726, 12.2507862 41.7962286, 12.250856 41.7962806, 12.250982 41.7963646, 12.2510357 41.7964346, 12.2509418 41.7965565, 12.2508989 41.7966105, 12.2507996 41.7966905, 12.2507031 41.7967785, 12.2506146 41.7968125, 12.2504107 41.7967965, 12.2502739 41.7967005, 12.2501881 41.7966525, 12.2500996 41.7965865, 12.2501398 41.7965385)",Linea 11,
"LINESTRING (12.2479861 41.7978955, 12.2479861 41.7981034, 12.2480773 41.7982754, 12.2482006 41.7984154, 12.2482597 41.7985953, 12.248383 41.7986673, 12.2485815 41.7988233, 12.248839 41.7988393, 12.2490804 41.7988193, 12.2493486 41.7989433, 12.2496169 41.7989913, 12.2497617 41.7989993)",Linea 12,
"LINESTRING (12.2491877 41.7995631, 12.2489785 41.7994272, 12.2489141 41.7992592, 12.2489302 41.7990992, 12.2490321 41.7987113, 12.2491233 41.7984554, 12.2490536 41.7977875, 12.2488766 41.7975036, 12.2487264 41.7973836, 12.2485976 41.7971716, 12.2484099 41.7971316)",Linea 13,
"LINESTRING (12.2498661 41.7989284, 12.2501611 41.7989684, 12.2504186 41.7991003, 12.2505956 41.7991443, 12.2509926 41.7992843, 12.2513842 41.7992883, 12.2515183 41.7992323, 12.2517114 41.7990603, 12.2519206 41.7988524, 12.2519421 41.7987524, 12.2519367 41.7986244, 12.2519225 41.7984341)",Linea 14,
"LINESTRING (12.2535836 41.7988524, 12.2538357 41.7989724, 12.2540932 41.7990404, 12.2542412 41.7992235, 12.2544151 41.7992843, 12.2546404 41.7994123, 12.2548657 41.7995242, 12.2551822 41.7997562, 12.2555577 41.7998962, 12.2559547 41.8000001, 12.2562926 41.8000801, 12.2566735 41.8001121, 12.2568237 41.8001761, 12.2568935 41.8002521)",Linea 15,
"LINESTRING (12.2570437 41.8001961, 12.2570598 41.8000841, 12.2570812 41.7999481, 12.2569954 41.7998242, 12.2569793 41.7995882, 12.2568988 41.7995002, 12.2567969 41.7992283, 12.2568023 41.7990404, 12.2569203 41.7988404, 12.256872 41.7986804, 12.2568452 41.7982765, 12.2567379 41.7981765, 12.2567337 41.7980193, 12.2566487 41.7978929)",Linea 16,
"LINESTRING (12.2560199 41.7971734, 12.2563518 41.7972529, 12.2565825 41.7973089, 12.2570814 41.7973969, 12.2573979 41.7974129, 12.2576661 41.7974169, 12.2579612 41.7974528, 12.2583796 41.7975128, 12.2586585 41.7974848, 12.2587658 41.7975208)",Linea 17,
"LINESTRING (12.2587658 41.7975208, 12.2590587 41.7977339, 12.2591735 41.7979008, 12.2594256 41.7982087, 12.2596778 41.7983967, 12.2597851 41.7986166, 12.2600372 41.7987846, 12.2601874 41.7990125, 12.2603537 41.7991365, 12.2605253 41.7992925, 12.2607185 41.7995244)",Linea 18,
"LINESTRING (12.2629904 41.7984772, 12.2629957 41.7981933, 12.2629796 41.7980853, 12.2629153 41.7979373, 12.2628294 41.7978174, 12.2626792 41.7976334, 12.2621964 41.7972015, 12.2619497 41.7970495, 12.2616654 41.7969135, 12.2614132 41.7967936, 12.2608661 41.7966216, 12.2605978 41.7965416, 12.2602921 41.7964696, 12.2599863 41.7964016, 12.2598307 41.7963376, 12.2596322 41.7963816, 12.2594284 41.7964336)",Linea 19,
"LINESTRING (12.2586905 41.7953033, 12.2593076 41.7953028, 12.2594954 41.7952268, 12.2596778 41.7952148, 12.2599782 41.7951668, 12.2603913 41.7950228, 12.2609223 41.7948908, 12.2611423 41.7947988, 12.2617377 41.7946749, 12.2620328 41.7944509, 12.2622366 41.7943909, 12.2626228 41.7943669)",Linea 20,
"LINESTRING (12.2631056 41.7949708, 12.2631432 41.7952188, 12.2631217 41.7953548, 12.2629984 41.7955947, 12.2628428 41.7956867)",Linea 21,
"LINESTRING (12.262308 41.795378, 12.2623133 41.7952981, 12.2624153 41.7951901, 12.2624957 41.7950501, 12.2625279 41.7949661, 12.2625494 41.7948061, 12.2626084 41.7947102, 12.2626459 41.7945502, 12.2626567 41.7944822, 12.2626228 41.7943669)",Linea 22,
