WKT,nome,descrizione
"POLYGON ((12.2544303 41.7958835, 12.2540333 41.7960934, 12.2537356 41.7957115, 12.2541406 41.7955235, 12.2544303 41.7958835))",security-check1-t1,
"LINESTRING (12.2541984 41.7953355, 12.2542118 41.7953575, 12.254236 41.7953805, 12.254244 41.7954105, 12.2542454 41.7954455, 12.2542856 41.7954485, 12.2543205 41.7954275, 12.2543459 41.7954035, 12.2543875 41.7954015, 12.2544318 41.7954255, 12.254468 41.7954655, 12.2544948 41.7954995, 12.2545163 41.7955335, 12.2545485 41.7955555, 12.2545686 41.7956025, 12.2545712 41.7956514, 12.2545337 41.7956784, 12.2545176 41.7957164, 12.2544573 41.7957234, 12.2543956 41.7957254, 12.2543553 41.7956904, 12.2543231 41.7956305, 12.2543285 41.7955945, 12.2543218 41.7955605, 12.2542802 41.7955485, 12.2542011 41.7955595, 12.2541917 41.7955935)",Linea 3,
"LINESTRING (12.2542078 41.7953295, 12.2542547 41.7953375, 12.254303 41.7953395, 12.2543473 41.7953125, 12.2544063 41.7953015, 12.2544653 41.7952955, 12.2545203 41.7952965, 12.2545391 41.7953205, 12.2545806 41.7953245, 12.2546182 41.7953465, 12.2546531 41.7953705, 12.2546705 41.7954005, 12.254708 41.7954395, 12.2547322 41.7954765, 12.2547456 41.7955085, 12.2547121 41.7955145, 12.2546839 41.7954995, 12.2546718 41.7954675, 12.2546571 41.7954405, 12.2546329 41.7954115, 12.2546115 41.7953905, 12.254582 41.7953555, 12.2545578 41.7953385, 12.254523 41.7953425, 12.2545511 41.7953755, 12.254578 41.7954045, 12.2546021 41.7954395, 12.2546356 41.7954695, 12.2546691 41.7955185, 12.2546987 41.7955455, 12.2547094 41.7955745, 12.2546826 41.7956055, 12.2546209 41.7956145, 12.2545444 41.7956125, 12.254476 41.7956065, 12.2544036 41.7955975, 12.2543285 41.7955945, 12.2542561 41.7956125, 12.2542226 41.7956255)",Linea 4,
"LINESTRING (12.254248 41.7953185, 12.2543138 41.7953065, 12.2543889 41.7952835, 12.2544532 41.7952625, 12.2545297 41.7952595, 12.2545726 41.7952335, 12.2546195 41.7952125, 12.2547013 41.7951835, 12.2547469 41.7951415, 12.2548059 41.7951725, 12.2548462 41.7952335, 12.2548891 41.7952725, 12.254928 41.7953165, 12.2549521 41.7953605, 12.254991 41.7953945, 12.2549937 41.7954295, 12.2549454 41.7954395, 12.2549186 41.7954075, 12.2549052 41.7953745, 12.254869 41.7953455, 12.2548515 41.7953165, 12.2548274 41.7952875, 12.2548046 41.7952515, 12.2547764 41.7952285, 12.2547335 41.7952175, 12.2547308 41.7952465, 12.2547738 41.7952835, 12.2548033 41.7953215, 12.2548287 41.7953465, 12.2548582 41.7953955, 12.2549065 41.7954385, 12.2549333 41.7954645, 12.254983 41.7955005, 12.2549588 41.7955445, 12.2549025 41.7955665, 12.2548824 41.7956135, 12.2548314 41.7956604, 12.2547818 41.7956694, 12.2547536 41.7957004, 12.254696 41.7957114, 12.2546799 41.7956794, 12.254696 41.7956434, 12.2547456 41.7956414, 12.2547671 41.7956594, 12.2547134 41.7956824, 12.2546396 41.7956824, 12.2545592 41.7956854, 12.2544707 41.7956774, 12.2543902 41.7956704, 12.2542816 41.7956664, 12.2542521 41.7956734)",Linea 6,
"LINESTRING (12.2548435 41.7950355, 12.2548408 41.7950675, 12.2547912 41.7950985, 12.2547898 41.7951385, 12.2548596 41.7951575, 12.2548971 41.7952065, 12.2548985 41.7952395, 12.2549508 41.7952925, 12.2549937 41.7953285, 12.2550259 41.7953675, 12.2550554 41.7954185, 12.2550889 41.7954475, 12.2551546 41.7954675, 12.2552203 41.7954665, 12.2553008 41.7954565, 12.2553464 41.7954345, 12.2554014 41.7954045, 12.255392 41.7953715, 12.255392 41.7953445, 12.255333 41.7953495, 12.2552887 41.7953765, 12.2552954 41.7954085, 12.2553022 41.7954325, 12.2552203 41.7954305, 12.255219 41.7953845, 12.2552445 41.7953465, 12.2552163 41.7953045, 12.2551801 41.7952575, 12.2551587 41.7952225, 12.2551372 41.7951925, 12.2551037 41.7951535, 12.2550567 41.7951085, 12.2550366 41.7950855, 12.2550058 41.7950715, 12.2549736 41.7950935, 12.2550219 41.7951165, 12.2550675 41.7951615, 12.2550996 41.7951985, 12.2551359 41.7952475, 12.2551721 41.7952935, 12.2551975 41.7953305, 12.2551587 41.7953375, 12.2551157 41.7953125, 12.2550943 41.7952585, 12.2550634 41.7952385, 12.2550393 41.7951985, 12.2550058 41.7951765, 12.254995 41.7951495, 12.2549666 41.7950692, 12.2549435 41.7950768, 12.2548571 41.795106, 12.254754 41.7951545, 12.2546658 41.7952075, 12.2544653 41.7952955, 12.2543406 41.7953529, 12.2542279 41.7954562, 12.2542011 41.795489, 12.2541743 41.7955545)",Linea 7,
"LINESTRING (12.2548703 41.7950345, 12.2549119 41.7950405, 12.2549977 41.7950405, 12.2550822 41.7950325, 12.2551278 41.7950445, 12.2551439 41.7950745, 12.2551452 41.7951265, 12.2551949 41.7951565, 12.2552512 41.7951995, 12.2552619 41.7952785, 12.2553518 41.7952995, 12.2554389 41.7953165, 12.2555476 41.7953255, 12.2555784 41.7953545, 12.2555891 41.7954045, 12.2556361 41.7954255, 12.2555972 41.7954415, 12.255557 41.7954545, 12.2555167 41.7954745, 12.2554188 41.7954965, 12.2554644 41.7955325, 12.2555449 41.7955365, 12.2555865 41.7955485, 12.2555932 41.7955775, 12.2556213 41.7955885, 12.2556723 41.7955645, 12.2556334 41.7955405, 12.2555999 41.7955175, 12.2556602 41.7955005, 12.2557018 41.7955185, 12.2556951 41.7955465, 12.2556656 41.7955435, 12.2555878 41.7955285, 12.2555328 41.7955105, 12.2554832 41.7955015, 12.2554202 41.7954615, 12.2554376 41.7953855, 12.2554698 41.7953485, 12.2554752 41.7952955, 12.2554886 41.7952375, 12.2554792 41.7951415, 12.2554135 41.7951295, 12.2553826 41.7950705, 12.2553384 41.7950206, 12.2552995 41.7950086, 12.2552592 41.7949556, 12.2551761 41.7949516, 12.2550111 41.7949836, 12.2549561 41.7950216, 12.2548571 41.795106, 12.2547738 41.7951655, 12.2547201 41.7951935, 12.2546571 41.7952085, 12.2545511 41.7952335, 12.2545967 41.7952995, 12.2546517 41.7953535, 12.2547282 41.7954195, 12.2547778 41.7954695, 12.2548515 41.7955675, 12.2548046 41.7956005, 12.254822 41.7956454, 12.2546262 41.7956325, 12.2544707 41.7956774, 12.2543728 41.7957214, 12.2543164 41.7957364)",Linea 8,
"LINESTRING (12.2551334 41.7949178, 12.2552112 41.7949058, 12.2553359 41.7948888, 12.2554325 41.7948588, 12.2554593 41.7948878, 12.2554781 41.7949288, 12.2555116 41.7949508, 12.2555331 41.7949818, 12.2555612 41.7949978, 12.2556082 41.7950358, 12.2556229 41.7950588, 12.2556189 41.7950948, 12.2556779 41.7951158, 12.2556819 41.7950858, 12.2556377 41.7950328, 12.2556162 41.7949928, 12.2555693 41.7949738, 12.2555559 41.7949368, 12.2555358 41.7949138, 12.255517 41.7948918, 12.2554821 41.7948518, 12.2554982 41.7948228, 12.2555505 41.7948188, 12.2556873 41.7949288, 12.2557128 41.7949978, 12.2557316 41.7950748, 12.2557959 41.7951028, 12.2557839 41.7951308, 12.2557423 41.7951688, 12.2558161 41.7951958, 12.2558938 41.7951958, 12.2559301 41.7952118, 12.2559837 41.7952458, 12.255867 41.7952518, 12.2558134 41.7952768, 12.255804 41.7953117, 12.2558107 41.7953437, 12.2557691 41.7953567, 12.2557986 41.7952928, 12.2557758 41.7952598, 12.2556846 41.7952328, 12.2556256 41.7952358, 12.2555572 41.7952478, 12.2555476 41.7953255, 12.2555089 41.7953897, 12.2555277 41.7954477, 12.2555653 41.7954687, 12.2555089 41.7954937)",Linea 9,
"LINESTRING (12.2548572 41.7950388, 12.2548572 41.7950778, 12.2548786 41.7951328, 12.2548987 41.7951618, 12.2549551 41.7952248, 12.2549779 41.7952738, 12.2550489 41.7953477, 12.2550691 41.7953927, 12.2551308 41.7954287, 12.2552555 41.7954697, 12.2553158 41.7954967, 12.2553802 41.7955117, 12.2554607 41.7954777, 12.2555009 41.7954467, 12.2555277 41.7954477, 12.2555438 41.7954677)",Linea 10,
"LINESTRING (12.2542604 41.7953058, 12.2543449 41.7952788, 12.2544307 41.7952588, 12.2544763 41.7952248, 12.2545957 41.7951878, 12.2546372 41.7951478, 12.254719 41.7951358, 12.2548371 41.7951378, 12.2548558 41.7951918, 12.2549269 41.7952438, 12.2549309 41.7952888, 12.2550074 41.7953487, 12.2550101 41.7953867, 12.2550784 41.7954277, 12.2551723 41.7954387, 12.2552434 41.7954697, 12.2553306 41.7954977, 12.2554164 41.7954697, 12.2554352 41.7954337, 12.2554808 41.7954017, 12.2555384 41.7954277, 12.2555814 41.7954587)",Linea 11,
"LINESTRING (12.255557 41.7954545, 12.2555183 41.7954267, 12.2554647 41.7954117, 12.2553601 41.7954537, 12.2552783 41.7954787, 12.2551857 41.7955037, 12.2552595 41.7955437, 12.255297 41.7955827, 12.2553118 41.7956177, 12.2552675 41.7956477, 12.2552112 41.7956087, 12.2552099 41.7955807, 12.2552219 41.7955607, 12.2551629 41.7955397, 12.2550892 41.7955787, 12.2550261 41.7956067, 12.2550047 41.7956187)",Linea 12,
"LINESTRING (12.2548719 41.7954187, 12.2549186 41.7954075, 12.2550074 41.7954617, 12.2550315 41.7955367, 12.254994 41.7955787, 12.2550838 41.7956037, 12.2550235 41.7956387)",Linea 13,
"LINESTRING (12.2546399 41.7955117, 12.2547056 41.7954907, 12.2547941 41.7955107, 12.2548666 41.7955517, 12.2549323 41.7955607, 12.2550154 41.7955567, 12.2551147 41.7955717, 12.255116 41.7956177, 12.255112 41.7956477, 12.2550436 41.7956557)",Linea 14,
"LINESTRING (12.2553856 41.7951938, 12.2554459 41.7951878, 12.2554781 41.7952458, 12.2555036 41.7953207, 12.2554698 41.7953485, 12.2554781 41.7953917, 12.2554513 41.7954177, 12.2553708 41.7954467, 12.2552984 41.7954877, 12.2552206 41.7954947, 12.2551764 41.7955207, 12.2551455 41.7955737, 12.2551576 41.7956187, 12.255124 41.7956737, 12.2550717 41.7956847)",Linea 15,
"LINESTRING (12.2551208 41.7949293, 12.2551328 41.7949823, 12.2551288 41.7950312, 12.2551637 41.7949833, 12.255216 41.7949603, 12.2552736 41.7949913, 12.2552307 41.7950182, 12.2552616 41.7950442, 12.2553005 41.7950972, 12.2553259 41.7951262, 12.2553555 41.7951652, 12.255389 41.7952032, 12.2554118 41.7952272)",Linea 16,
"LINESTRING (12.2551503 41.7953392, 12.25522 41.7953132, 12.2552294 41.7953572, 12.2551811 41.7954402, 12.2551114 41.7954932, 12.2550631 41.7955892, 12.2551221 41.7956611, 12.2550886 41.7957121)",Linea 17,
